id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
902,240AC4F01E025FF4,2018-02-06T15:27:20.411461Z,-59,4,"{""time"": ""2018-02-06T15:27:20.278766Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
903,240AC4F01E023E3C,2018-02-06T15:27:21.702255Z,-51,6,"{""time"": ""2018-02-06T15:27:21.560035Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
904,240AC4F01E023C54,2018-02-06T15:27:21.695262Z,-43,6,"{""time"": ""2018-02-06T15:27:21.560035Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
905,240AC4F01E0286DC,2018-02-06T15:27:21.702216Z,-42,6,"{""time"": ""2018-02-06T15:27:21.560035Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
906,240AC4F01E023C54,2018-02-06T15:27:24.325388Z,-35,7,"{""time"": ""2018-02-06T15:27:24.195671Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
907,240AC4F01E025FF4,2018-02-06T15:27:24.327476Z,-43,6,"{""time"": ""2018-02-06T15:27:24.195671Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
908,240AC4F01E025FF4,2018-02-06T15:27:24.739517Z,-44,6,"{""time"": ""2018-02-06T15:27:24.600044Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
909,240AC4F01E0286DC,2018-02-06T15:27:24.743947Z,-35,6,"{""time"": ""2018-02-06T15:27:24.600044Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
910,240AC4F01E023E3C,2018-02-06T15:27:24.332088Z,-44,7,"{""time"": ""2018-02-06T15:27:24.195671Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
911,240AC4F01E023E3C,2018-02-06T15:27:24.743061Z,-45,6,"{""time"": ""2018-02-06T15:27:24.600044Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
912,240AC4F01E0286DC,2018-02-06T15:27:30.415882Z,-48,6,"{""time"": ""2018-02-06T15:27:30.278690Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
913,240AC4F01E023C54,2018-02-06T15:27:30.409350Z,-46,7,"{""time"": ""2018-02-06T15:27:30.278690Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
914,240AC4F01E025FF4,2018-02-06T15:27:30.411506Z,-52,6,"{""time"": ""2018-02-06T15:27:30.278690Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
915,240AC4F01E023E3C,2018-02-06T15:27:31.702079Z,-53,6,"{""time"": ""2018-02-06T15:27:31.559925Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
916,240AC4F01E023C54,2018-02-06T15:27:31.695459Z,-46,6,"{""time"": ""2018-02-06T15:27:31.559925Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
917,240AC4F01E0286DC,2018-02-06T15:27:31.701986Z,-46,7,"{""time"": ""2018-02-06T15:27:31.559925Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
918,240AC4F01E023E3C,2018-02-06T15:27:34.333136Z,-47,6,"{""time"": ""2018-02-06T15:27:34.195786Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
919,240AC4F01E023C54,2018-02-06T15:27:34.326486Z,-39,7,"{""time"": ""2018-02-06T15:27:34.195786Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
920,240AC4F01E0286DC,2018-02-06T15:27:34.743954Z,-39,6,"{""time"": ""2018-02-06T15:27:34.600001Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
921,240AC4F01E023E3C,2018-02-06T15:27:34.742998Z,-47,7,"{""time"": ""2018-02-06T15:27:34.600001Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
922,240AC4F01E023C54,2018-02-06T15:27:40.409592Z,-44,5,"{""time"": ""2018-02-06T15:27:40.278708Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
923,240AC4F01E0286DC,2018-02-06T15:27:40.416099Z,-45,7,"{""time"": ""2018-02-06T15:27:40.278708Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
924,240AC4F01E025FF4,2018-02-06T15:27:34.328646Z,-48,6,"{""time"": ""2018-02-06T15:27:34.195786Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
925,240AC4F01E025FF4,2018-02-06T15:27:34.738644Z,-46,6,"{""time"": ""2018-02-06T15:27:34.600001Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
926,240AC4F01E025FF4,2018-02-06T15:27:40.411681Z,-47,6,"{""time"": ""2018-02-06T15:27:40.278708Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
927,240AC4F01E023E3C,2018-02-06T15:27:41.701097Z,-47,7,"{""time"": ""2018-02-06T15:27:41.559905Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
928,240AC4F01E023C54,2018-02-06T15:27:41.694230Z,-42,6,"{""time"": ""2018-02-06T15:27:41.559905Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
